i r tft num fbm rl tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1207 0.1220 0.1793 0.1819 0.2027 0.1934
2.0 0.0830 0.0851 0.1850 0.1920 0.2374 0.2176
3.0 0.0546 0.0569 0.1842 0.1968 0.2691 0.2383
4.0 0.0347 0.0368 0.1784 0.1972 0.2974 0.2554
5.0 0.0215 0.0233 0.1693 0.1941 0.3226 0.2693
6.0 0.0131 0.0145 0.1584 0.1885 0.3451 0.2805
7.0 0.0079 0.0089 0.1468 0.1814 0.3656 0.2895
8.0 0.0047 0.0054 0.1351 0.1733 0.3847 0.2968
9.0 0.0028 0.0033 0.1238 0.1646 0.4028 0.3026
10.0 0.0016 0.0020 0.1131 0.1558 0.4202 0.3073
11.0 0.0010 0.0012 0.1030 0.1468 0.4370 0.3110
12.0 0.0006 0.0007 0.0937 0.1380 0.4533 0.3137
13.0 0.0003 0.0004 0.0851 0.1294 0.4692 0.3156
14.0 0.0002 0.0003 0.0772 0.1210 0.4847 0.3167
15.0 0.0001 0.0002 0.0700 0.1129 0.4998 0.3171
16.0 0.0001 0.0001 0.0633 0.1051 0.5146 0.3168
17.0 0.0000 0.0001 0.0573 0.0977 0.5289 0.3159
18.0 0.0000 0.0000 0.0518 0.0907 0.5430 0.3145
19.0 0.0000 0.0000 0.0468 0.0841 0.5566 0.3125
20.0 0.0000 0.0000 0.0422 0.0778 0.5699 0.3101
21.0 0.0000 0.0000 0.0381 0.0719 0.5828 0.3072
22.0 0.0000 0.0000 0.0344 0.0664 0.5953 0.3039
23.0 0.0000 0.0000 0.0310 0.0613 0.6074 0.3003
24.0 0.0000 0.0000 0.0279 0.0565 0.6192 0.2964
25.0 0.0000 0.0000 0.0251 0.0520 0.6306 0.2923
26.0 0.0000 0.0000 0.0226 0.0478 0.6416 0.2879
27.0 0.0000 0.0000 0.0204 0.0440 0.6523 0.2833
28.0 0.0000 0.0000 0.0183 0.0404 0.6627 0.2785
29.0 0.0000 0.0000 0.0165 0.0371 0.6727 0.2737
30.0 0.0000 0.0000 0.0149 0.0341 0.6824 0.2687
31.0 0.0000 0.0000 0.0134 0.0312 0.6918 0.2636
32.0 0.0000 0.0000 0.0120 0.0286 0.7009 0.2584
33.0 0.0000 0.0000 0.0108 0.0263 0.7097 0.2532
34.0 0.0000 0.0000 0.0097 0.0241 0.7182 0.2480
35.0 0.0000 0.0000 0.0087 0.0220 0.7264 0.2428
36.0 0.0000 0.0000 0.0079 0.0202 0.7344 0.2376
37.0 0.0000 0.0000 0.0071 0.0185 0.7421 0.2323
38.0 0.0000 0.0000 0.0064 0.0169 0.7496 0.2272
39.0 0.0000 0.0000 0.0057 0.0155 0.7568 0.2220
40.0 0.0000 0.0000 0.0051 0.0142 0.7638 0.2169
41.0 0.0000 0.0000 0.0046 0.0130 0.7706 0.2119
42.0 0.0000 0.0000 0.0041 0.0119 0.7771 0.2069
43.0 0.0000 0.0000 0.0037 0.0109 0.7835 0.2019
44.0 0.0000 0.0000 0.0034 0.0099 0.7896 0.1971
45.0 0.0000 0.0000 0.0030 0.0091 0.7956 0.1923
46.0 0.0000 0.0000 0.0027 0.0083 0.8014 0.1876
47.0 0.0000 0.0000 0.0024 0.0076 0.8070 0.1830
