i r tft num fbm rl tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1453 0.1658 0.1726 0.1726 0.1714 0.1724
2.0 0.1262 0.1643 0.1780 0.1781 0.1756 0.1777
3.0 0.1094 0.1623 0.1831 0.1833 0.1793 0.1826
4.0 0.0945 0.1599 0.1878 0.1880 0.1826 0.1871
5.0 0.0815 0.1572 0.1921 0.1923 0.1855 0.1913
6.0 0.0702 0.1541 0.1962 0.1964 0.1880 0.1952
7.0 0.0603 0.1508 0.1999 0.2001 0.1901 0.1988
8.0 0.0517 0.1473 0.2033 0.2036 0.1920 0.2021
9.0 0.0443 0.1437 0.2065 0.2068 0.1935 0.2052
10.0 0.0379 0.1400 0.2095 0.2097 0.1948 0.2080
11.0 0.0324 0.1362 0.2122 0.2125 0.1959 0.2107
12.0 0.0277 0.1324 0.2148 0.2150 0.1968 0.2132
13.0 0.0236 0.1286 0.2173 0.2175 0.1975 0.2155
14.0 0.0202 0.1248 0.2195 0.2197 0.1981 0.2177
15.0 0.0172 0.1211 0.2217 0.2218 0.1985 0.2197
16.0 0.0146 0.1173 0.2237 0.2238 0.1988 0.2216
17.0 0.0125 0.1136 0.2256 0.2257 0.1990 0.2235
18.0 0.0106 0.1100 0.2275 0.2275 0.1991 0.2252
19.0 0.0090 0.1065 0.2292 0.2293 0.1992 0.2269
20.0 0.0077 0.1030 0.2309 0.2309 0.1991 0.2284
21.0 0.0065 0.0996 0.2325 0.2325 0.1990 0.2300
22.0 0.0056 0.0963 0.2340 0.2340 0.1988 0.2314
23.0 0.0047 0.0931 0.2355 0.2354 0.1985 0.2328
24.0 0.0040 0.0900 0.2369 0.2368 0.1982 0.2341
25.0 0.0034 0.0869 0.2383 0.2381 0.1979 0.2354
26.0 0.0029 0.0839 0.2396 0.2394 0.1975 0.2367
27.0 0.0025 0.0811 0.2409 0.2407 0.1971 0.2379
28.0 0.0021 0.0783 0.2421 0.2419 0.1966 0.2391
29.0 0.0018 0.0755 0.2433 0.2431 0.1961 0.2402
30.0 0.0015 0.0729 0.2445 0.2442 0.1956 0.2413
31.0 0.0013 0.0704 0.2457 0.2453 0.1950 0.2424
32.0 0.0011 0.0679 0.2468 0.2464 0.1945 0.2434
33.0 0.0009 0.0655 0.2479 0.2474 0.1939 0.2444
34.0 0.0008 0.0632 0.2489 0.2485 0.1932 0.2454
35.0 0.0007 0.0610 0.2500 0.2494 0.1926 0.2464
36.0 0.0006 0.0588 0.2510 0.2504 0.1920 0.2473
37.0 0.0005 0.0567 0.2520 0.2514 0.1913 0.2482
38.0 0.0004 0.0547 0.2529 0.2523 0.1906 0.2491
39.0 0.0003 0.0527 0.2539 0.2532 0.1899 0.2500
40.0 0.0003 0.0508 0.2548 0.2541 0.1892 0.2508
41.0 0.0002 0.0490 0.2557 0.2550 0.1884 0.2516
42.0 0.0002 0.0472 0.2566 0.2558 0.1877 0.2525
43.0 0.0002 0.0455 0.2575 0.2566 0.1869 0.2532
44.0 0.0001 0.0439 0.2583 0.2574 0.1862 0.2540
45.0 0.0001 0.0423 0.2591 0.2582 0.1854 0.2548
46.0 0.0001 0.0408 0.2600 0.2590 0.1846 0.2555
47.0 0.0001 0.0393 0.2608 0.2598 0.1838 0.2563
48.0 0.0001 0.0379 0.2616 0.2605 0.1830 0.2570
49.0 0.0001 0.0365 0.2623 0.2612 0.1822 0.2577
50.0 0.0001 0.0351 0.2631 0.2620 0.1814 0.2583
51.0 0.0000 0.0339 0.2638 0.2627 0.1806 0.2590
52.0 0.0000 0.0326 0.2646 0.2633 0.1798 0.2597
53.0 0.0000 0.0314 0.2653 0.2640 0.1789 0.2603
54.0 0.0000 0.0303 0.2660 0.2647 0.1781 0.2610
55.0 0.0000 0.0292 0.2667 0.2653 0.1773 0.2616
56.0 0.0000 0.0281 0.2673 0.2660 0.1764 0.2622
57.0 0.0000 0.0270 0.2680 0.2666 0.1756 0.2628
58.0 0.0000 0.0260 0.2687 0.2672 0.1747 0.2634
59.0 0.0000 0.0251 0.2693 0.2678 0.1739 0.2639
60.0 0.0000 0.0242 0.2699 0.2684 0.1730 0.2645
61.0 0.0000 0.0233 0.2706 0.2690 0.1721 0.2650
62.0 0.0000 0.0224 0.2712 0.2696 0.1713 0.2656
63.0 0.0000 0.0216 0.2718 0.2701 0.1704 0.2661
64.0 0.0000 0.0208 0.2724 0.2707 0.1695 0.2667
65.0 0.0000 0.0200 0.2729 0.2712 0.1687 0.2672
