i r tft num fbm rl tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1234 0.1312 0.1828 0.1881 0.1863 0.1882
2.0 0.0879 0.0993 0.1942 0.2077 0.2031 0.2078
3.0 0.0605 0.0726 0.2006 0.2248 0.2166 0.2249
4.0 0.0404 0.0516 0.2023 0.2393 0.2269 0.2395
5.0 0.0264 0.0359 0.2004 0.2514 0.2342 0.2516
6.0 0.0170 0.0245 0.1959 0.2615 0.2392 0.2618
7.0 0.0108 0.0166 0.1897 0.2700 0.2425 0.2704
8.0 0.0068 0.0111 0.1824 0.2773 0.2445 0.2779
9.0 0.0043 0.0074 0.1746 0.2837 0.2456 0.2844
10.0 0.0027 0.0049 0.1666 0.2895 0.2460 0.2903
11.0 0.0017 0.0033 0.1586 0.2948 0.2460 0.2957
12.0 0.0010 0.0022 0.1508 0.2996 0.2457 0.3007
13.0 0.0006 0.0014 0.1432 0.3042 0.2452 0.3054
14.0 0.0004 0.0009 0.1358 0.3085 0.2445 0.3098
15.0 0.0002 0.0006 0.1288 0.3126 0.2436 0.3141
16.0 0.0002 0.0004 0.1220 0.3166 0.2427 0.3182
17.0 0.0001 0.0003 0.1156 0.3203 0.2417 0.3221
18.0 0.0001 0.0002 0.1095 0.3239 0.2406 0.3258
19.0 0.0000 0.0001 0.1036 0.3274 0.2394 0.3294
20.0 0.0000 0.0001 0.0981 0.3307 0.2382 0.3329
21.0 0.0000 0.0000 0.0928 0.3339 0.2370 0.3362
22.0 0.0000 0.0000 0.0878 0.3370 0.2357 0.3395
23.0 0.0000 0.0000 0.0831 0.3399 0.2344 0.3426
24.0 0.0000 0.0000 0.0786 0.3428 0.2330 0.3456
25.0 0.0000 0.0000 0.0743 0.3455 0.2317 0.3485
26.0 0.0000 0.0000 0.0702 0.3482 0.2303 0.3513
27.0 0.0000 0.0000 0.0664 0.3507 0.2289 0.3540
28.0 0.0000 0.0000 0.0628 0.3532 0.2274 0.3566
29.0 0.0000 0.0000 0.0593 0.3556 0.2260 0.3591
30.0 0.0000 0.0000 0.0561 0.3578 0.2245 0.3616
31.0 0.0000 0.0000 0.0530 0.3600 0.2231 0.3639
32.0 0.0000 0.0000 0.0501 0.3621 0.2216 0.3662
33.0 0.0000 0.0000 0.0473 0.3642 0.2201 0.3684
34.0 0.0000 0.0000 0.0447 0.3662 0.2186 0.3706
35.0 0.0000 0.0000 0.0422 0.3681 0.2171 0.3726
36.0 0.0000 0.0000 0.0399 0.3699 0.2156 0.3746
37.0 0.0000 0.0000 0.0376 0.3717 0.2141 0.3766
38.0 0.0000 0.0000 0.0355 0.3734 0.2126 0.3785
39.0 0.0000 0.0000 0.0336 0.3750 0.2111 0.3803
40.0 0.0000 0.0000 0.0317 0.3766 0.2096 0.3821
41.0 0.0000 0.0000 0.0299 0.3782 0.2081 0.3838
42.0 0.0000 0.0000 0.0283 0.3797 0.2066 0.3854
43.0 0.0000 0.0000 0.0267 0.3811 0.2051 0.3871
44.0 0.0000 0.0000 0.0252 0.3825 0.2037 0.3886
45.0 0.0000 0.0000 0.0238 0.3839 0.2022 0.3902
46.0 0.0000 0.0000 0.0224 0.3852 0.2007 0.3917
47.0 0.0000 0.0000 0.0212 0.3865 0.1992 0.3931
48.0 0.0000 0.0000 0.0200 0.3877 0.1978 0.3945
49.0 0.0000 0.0000 0.0189 0.3889 0.1963 0.3959
50.0 0.0000 0.0000 0.0178 0.3901 0.1949 0.3972
51.0 0.0000 0.0000 0.0168 0.3912 0.1934 0.3986
52.0 0.0000 0.0000 0.0159 0.3923 0.1920 0.3998
53.0 0.0000 0.0000 0.0150 0.3934 0.1906 0.4011
54.0 0.0000 0.0000 0.0141 0.3944 0.1891 0.4023
55.0 0.0000 0.0000 0.0133 0.3954 0.1877 0.4035
56.0 0.0000 0.0000 0.0126 0.3964 0.1863 0.4046
57.0 0.0000 0.0000 0.0119 0.3974 0.1849 0.4058
58.0 0.0000 0.0000 0.0112 0.3983 0.1836 0.4069
59.0 0.0000 0.0000 0.0106 0.3992 0.1822 0.4080
60.0 0.0000 0.0000 0.0100 0.4001 0.1808 0.4091
61.0 0.0000 0.0000 0.0094 0.4010 0.1795 0.4101
62.0 0.0000 0.0000 0.0089 0.4019 0.1781 0.4111
63.0 0.0000 0.0000 0.0084 0.4027 0.1768 0.4121
64.0 0.0000 0.0000 0.0079 0.4035 0.1755 0.4131
65.0 0.0000 0.0000 0.0075 0.4043 0.1741 0.4141
66.0 0.0000 0.0000 0.0071 0.4051 0.1728 0.4150
67.0 0.0000 0.0000 0.0067 0.4058 0.1715 0.4160
68.0 0.0000 0.0000 0.0063 0.4066 0.1703 0.4169
69.0 0.0000 0.0000 0.0059 0.4073 0.1690 0.4178
70.0 0.0000 0.0000 0.0056 0.4080 0.1677 0.4187
71.0 0.0000 0.0000 0.0053 0.4087 0.1665 0.4196
72.0 0.0000 0.0000 0.0050 0.4094 0.1652 0.4204
73.0 0.0000 0.0000 0.0047 0.4101 0.1640 0.4213
