i r tft num fbm rl tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1352 0.1353 0.1974 0.1985 0.1353 0.1984
2.0 0.1047 0.1048 0.2250 0.2304 0.1048 0.2303
3.0 0.0774 0.0775 0.2468 0.2605 0.0775 0.2603
4.0 0.0548 0.0549 0.2612 0.2873 0.0549 0.2870
5.0 0.0373 0.0374 0.2680 0.3102 0.0374 0.3096
6.0 0.0247 0.0247 0.2685 0.3290 0.0248 0.3283
7.0 0.0160 0.0160 0.2641 0.3444 0.0161 0.3434
8.0 0.0102 0.0102 0.2565 0.3571 0.0102 0.3558
9.0 0.0064 0.0064 0.2469 0.3677 0.0065 0.3661
10.0 0.0040 0.0040 0.2363 0.3767 0.0040 0.3749
11.0 0.0025 0.0025 0.2253 0.3846 0.0025 0.3825
12.0 0.0015 0.0016 0.2142 0.3917 0.0016 0.3893
13.0 0.0010 0.0010 0.2034 0.3982 0.0010 0.3955
14.0 0.0006 0.0006 0.1928 0.4042 0.0006 0.4012
15.0 0.0004 0.0004 0.1827 0.4098 0.0004 0.4064
16.0 0.0002 0.0002 0.1729 0.4151 0.0002 0.4114
17.0 0.0001 0.0001 0.1636 0.4200 0.0001 0.4160
18.0 0.0001 0.0001 0.1548 0.4247 0.0001 0.4203
19.0 0.0001 0.0001 0.1464 0.4291 0.0001 0.4244
20.0 0.0000 0.0000 0.1384 0.4333 0.0000 0.4282
21.0 0.0000 0.0000 0.1308 0.4373 0.0000 0.4318
22.0 0.0000 0.0000 0.1236 0.4411 0.0000 0.4352
23.0 0.0000 0.0000 0.1168 0.4447 0.0000 0.4385
24.0 0.0000 0.0000 0.1103 0.4482 0.0000 0.4415
25.0 0.0000 0.0000 0.1042 0.4514 0.0000 0.4444
26.0 0.0000 0.0000 0.0984 0.4545 0.0000 0.4471
27.0 0.0000 0.0000 0.0929 0.4574 0.0000 0.4496
28.0 0.0000 0.0000 0.0878 0.4602 0.0000 0.4520
29.0 0.0000 0.0000 0.0829 0.4629 0.0000 0.4542
30.0 0.0000 0.0000 0.0782 0.4654 0.0000 0.4564
31.0 0.0000 0.0000 0.0738 0.4678 0.0000 0.4583
32.0 0.0000 0.0000 0.0697 0.4701 0.0000 0.4602
33.0 0.0000 0.0000 0.0658 0.4723 0.0000 0.4620
34.0 0.0000 0.0000 0.0621 0.4743 0.0000 0.4636
35.0 0.0000 0.0000 0.0586 0.4763 0.0000 0.4651
36.0 0.0000 0.0000 0.0553 0.4781 0.0000 0.4666
37.0 0.0000 0.0000 0.0522 0.4799 0.0000 0.4679
38.0 0.0000 0.0000 0.0493 0.4816 0.0000 0.4692
39.0 0.0000 0.0000 0.0465 0.4832 0.0000 0.4703
40.0 0.0000 0.0000 0.0439 0.4847 0.0000 0.4714
41.0 0.0000 0.0000 0.0414 0.4862 0.0000 0.4725
42.0 0.0000 0.0000 0.0390 0.4875 0.0000 0.4734
43.0 0.0000 0.0000 0.0368 0.4889 0.0000 0.4743
44.0 0.0000 0.0000 0.0347 0.4901 0.0000 0.4751
45.0 0.0000 0.0000 0.0328 0.4913 0.0000 0.4759
46.0 0.0000 0.0000 0.0309 0.4925 0.0000 0.4766
47.0 0.0000 0.0000 0.0292 0.4936 0.0000 0.4773
48.0 0.0000 0.0000 0.0275 0.4946 0.0000 0.4779
49.0 0.0000 0.0000 0.0260 0.4956 0.0000 0.4784
50.0 0.0000 0.0000 0.0245 0.4965 0.0000 0.4790
51.0 0.0000 0.0000 0.0231 0.4975 0.0000 0.4794
52.0 0.0000 0.0000 0.0218 0.4983 0.0000 0.4799
53.0 0.0000 0.0000 0.0206 0.4992 0.0000 0.4803
54.0 0.0000 0.0000 0.0194 0.5000 0.0000 0.4807
55.0 0.0000 0.0000 0.0183 0.5007 0.0000 0.4810
56.0 0.0000 0.0000 0.0172 0.5015 0.0000 0.4813
57.0 0.0000 0.0000 0.0163 0.5022 0.0000 0.4816
58.0 0.0000 0.0000 0.0153 0.5028 0.0000 0.4818
59.0 0.0000 0.0000 0.0145 0.5035 0.0000 0.4820
60.0 0.0000 0.0000 0.0137 0.5041 0.0000 0.4822
61.0 0.0000 0.0000 0.0129 0.5047 0.0000 0.4824
62.0 0.0000 0.0000 0.0121 0.5053 0.0000 0.4825
63.0 0.0000 0.0000 0.0115 0.5059 0.0000 0.4827
64.0 0.0000 0.0000 0.0108 0.5064 0.0000 0.4828
65.0 0.0000 0.0000 0.0102 0.5069 0.0000 0.4829
66.0 0.0000 0.0000 0.0096 0.5074 0.0000 0.4829
67.0 0.0000 0.0000 0.0091 0.5079 0.0000 0.4830
68.0 0.0000 0.0000 0.0085 0.5084 0.0000 0.4830
69.0 0.0000 0.0000 0.0081 0.5089 0.0000 0.4831
70.0 0.0000 0.0000 0.0076 0.5093 0.0000 0.4831
71.0 0.0000 0.0000 0.0072 0.5097 0.0000 0.4831
72.0 0.0000 0.0000 0.0068 0.5102 0.0000 0.4831
73.0 0.0000 0.0000 0.0064 0.5106 0.0000 0.4831
74.0 0.0000 0.0000 0.0060 0.5110 0.0000 0.4830
75.0 0.0000 0.0000 0.0057 0.5113 0.0000 0.4830
76.0 0.0000 0.0000 0.0053 0.5117 0.0000 0.4829
77.0 0.0000 0.0000 0.0050 0.5121 0.0000 0.4829
78.0 0.0000 0.0000 0.0048 0.5124 0.0000 0.4828
79.0 0.0000 0.0000 0.0045 0.5128 0.0000 0.4827
80.0 0.0000 0.0000 0.0042 0.5131 0.0000 0.4826
81.0 0.0000 0.0000 0.0040 0.5135 0.0000 0.4825
82.0 0.0000 0.0000 0.0038 0.5138 0.0000 0.4824
83.0 0.0000 0.0000 0.0035 0.5141 0.0000 0.4823
84.0 0.0000 0.0000 0.0033 0.5144 0.0000 0.4822
85.0 0.0000 0.0000 0.0032 0.5147 0.0000 0.4821
86.0 0.0000 0.0000 0.0030 0.5151 0.0000 0.4820
87.0 0.0000 0.0000 0.0028 0.5154 0.0000 0.4818
88.0 0.0000 0.0000 0.0026 0.5156 0.0000 0.4817
89.0 0.0000 0.0000 0.0025 0.5159 0.0000 0.4816
90.0 0.0000 0.0000 0.0024 0.5162 0.0000 0.4814
91.0 0.0000 0.0000 0.0022 0.5165 0.0000 0.4813
92.0 0.0000 0.0000 0.0021 0.5168 0.0000 0.4811
93.0 0.0000 0.0000 0.0020 0.5170 0.0000 0.4810
94.0 0.0000 0.0000 0.0019 0.5173 0.0000 0.4808
95.0 0.0000 0.0000 0.0018 0.5176 0.0000 0.4807
96.0 0.0000 0.0000 0.0017 0.5178 0.0000 0.4805
97.0 0.0000 0.0000 0.0016 0.5181 0.0000 0.4803
98.0 0.0000 0.0000 0.0015 0.5184 0.0000 0.4802
99.0 0.0000 0.0000 0.0014 0.5186 0.0000 0.4800
100.0 0.0000 0.0000 0.0013 0.5189 0.0000 0.4798
101.0 0.0000 0.0000 0.0012 0.5191 0.0000 0.4796
102.0 0.0000 0.0000 0.0012 0.5194 0.0000 0.4795
103.0 0.0000 0.0000 0.0011 0.5196 0.0000 0.4793
104.0 0.0000 0.0000 0.0010 0.5199 0.0000 0.4791
105.0 0.0000 0.0000 0.0010 0.5201 0.0000 0.4789
106.0 0.0000 0.0000 0.0009 0.5203 0.0000 0.4787
107.0 0.0000 0.0000 0.0009 0.5206 0.0000 0.4786
108.0 0.0000 0.0000 0.0008 0.5208 0.0000 0.4784
109.0 0.0000 0.0000 0.0008 0.5210 0.0000 0.4782
110.0 0.0000 0.0000 0.0007 0.5213 0.0000 0.4780
111.0 0.0000 0.0000 0.0007 0.5215 0.0000 0.4778
112.0 0.0000 0.0000 0.0006 0.5217 0.0000 0.4776
113.0 0.0000 0.0000 0.0006 0.5220 0.0000 0.4774
114.0 0.0000 0.0000 0.0006 0.5222 0.0000 0.4772
115.0 0.0000 0.0000 0.0005 0.5224 0.0000 0.4770
116.0 0.0000 0.0000 0.0005 0.5227 0.0000 0.4768
117.0 0.0000 0.0000 0.0005 0.5229 0.0000 0.4766
118.0 0.0000 0.0000 0.0005 0.5231 0.0000 0.4764
119.0 0.0000 0.0000 0.0004 0.5233 0.0000 0.4762
120.0 0.0000 0.0000 0.0004 0.5235 0.0000 0.4760
121.0 0.0000 0.0000 0.0004 0.5238 0.0000 0.4758
122.0 0.0000 0.0000 0.0004 0.5240 0.0000 0.4756
123.0 0.0000 0.0000 0.0003 0.5242 0.0000 0.4754
124.0 0.0000 0.0000 0.0003 0.5244 0.0000 0.4752
125.0 0.0000 0.0000 0.0003 0.5247 0.0000 0.4750
126.0 0.0000 0.0000 0.0003 0.5249 0.0000 0.4748
127.0 0.0000 0.0000 0.0003 0.5251 0.0000 0.4746
128.0 0.0000 0.0000 0.0003 0.5253 0.0000 0.4744
129.0 0.0000 0.0000 0.0002 0.5255 0.0000 0.4742
130.0 0.0000 0.0000 0.0002 0.5257 0.0000 0.4740
131.0 0.0000 0.0000 0.0002 0.5260 0.0000 0.4738
132.0 0.0000 0.0000 0.0002 0.5262 0.0000 0.4736
133.0 0.0000 0.0000 0.0002 0.5264 0.0000 0.4734
134.0 0.0000 0.0000 0.0002 0.5266 0.0000 0.4732
135.0 0.0000 0.0000 0.0002 0.5268 0.0000 0.4730
136.0 0.0000 0.0000 0.0002 0.5270 0.0000 0.4728
137.0 0.0000 0.0000 0.0001 0.5273 0.0000 0.4726
138.0 0.0000 0.0000 0.0001 0.5275 0.0000 0.4724
139.0 0.0000 0.0000 0.0001 0.5277 0.0000 0.4722
140.0 0.0000 0.0000 0.0001 0.5279 0.0000 0.4720
141.0 0.0000 0.0000 0.0001 0.5281 0.0000 0.4718
142.0 0.0000 0.0000 0.0001 0.5283 0.0000 0.4716
143.0 0.0000 0.0000 0.0001 0.5285 0.0000 0.4714
144.0 0.0000 0.0000 0.0001 0.5287 0.0000 0.4712
145.0 0.0000 0.0000 0.0001 0.5290 0.0000 0.4709
146.0 0.0000 0.0000 0.0001 0.5292 0.0000 0.4707
147.0 0.0000 0.0000 0.0001 0.5294 0.0000 0.4705
148.0 0.0000 0.0000 0.0001 0.5296 0.0000 0.4703
149.0 0.0000 0.0000 0.0001 0.5298 0.0000 0.4701
150.0 0.0000 0.0000 0.0001 0.5300 0.0000 0.4699
151.0 0.0000 0.0000 0.0001 0.5302 0.0000 0.4697
152.0 0.0000 0.0000 0.0001 0.5304 0.0000 0.4695
153.0 0.0000 0.0000 0.0001 0.5307 0.0000 0.4693
154.0 0.0000 0.0000 0.0001 0.5309 0.0000 0.4691
155.0 0.0000 0.0000 0.0001 0.5311 0.0000 0.4689
156.0 0.0000 0.0000 0.0000 0.5313 0.0000 0.4687
157.0 0.0000 0.0000 0.0000 0.5315 0.0000 0.4685
158.0 0.0000 0.0000 0.0000 0.5317 0.0000 0.4683
159.0 0.0000 0.0000 0.0000 0.5319 0.0000 0.4680
160.0 0.0000 0.0000 0.0000 0.5321 0.0000 0.4678
161.0 0.0000 0.0000 0.0000 0.5323 0.0000 0.4676
162.0 0.0000 0.0000 0.0000 0.5325 0.0000 0.4674
163.0 0.0000 0.0000 0.0000 0.5328 0.0000 0.4672
164.0 0.0000 0.0000 0.0000 0.5330 0.0000 0.4670
165.0 0.0000 0.0000 0.0000 0.5332 0.0000 0.4668
166.0 0.0000 0.0000 0.0000 0.5334 0.0000 0.4666
167.0 0.0000 0.0000 0.0000 0.5336 0.0000 0.4664
168.0 0.0000 0.0000 0.0000 0.5338 0.0000 0.4662
169.0 0.0000 0.0000 0.0000 0.5340 0.0000 0.4660
170.0 0.0000 0.0000 0.0000 0.5342 0.0000 0.4658
171.0 0.0000 0.0000 0.0000 0.5344 0.0000 0.4656
172.0 0.0000 0.0000 0.0000 0.5346 0.0000 0.4653
173.0 0.0000 0.0000 0.0000 0.5348 0.0000 0.4651
174.0 0.0000 0.0000 0.0000 0.5351 0.0000 0.4649
175.0 0.0000 0.0000 0.0000 0.5353 0.0000 0.4647
176.0 0.0000 0.0000 0.0000 0.5355 0.0000 0.4645
177.0 0.0000 0.0000 0.0000 0.5357 0.0000 0.4643
178.0 0.0000 0.0000 0.0000 0.5359 0.0000 0.4641
179.0 0.0000 0.0000 0.0000 0.5361 0.0000 0.4639
180.0 0.0000 0.0000 0.0000 0.5363 0.0000 0.4637
181.0 0.0000 0.0000 0.0000 0.5365 0.0000 0.4635
182.0 0.0000 0.0000 0.0000 0.5367 0.0000 0.4633
183.0 0.0000 0.0000 0.0000 0.5369 0.0000 0.4631
184.0 0.0000 0.0000 0.0000 0.5371 0.0000 0.4629
185.0 0.0000 0.0000 0.0000 0.5373 0.0000 0.4626
186.0 0.0000 0.0000 0.0000 0.5375 0.0000 0.4624
187.0 0.0000 0.0000 0.0000 0.5378 0.0000 0.4622
188.0 0.0000 0.0000 0.0000 0.5380 0.0000 0.4620
189.0 0.0000 0.0000 0.0000 0.5382 0.0000 0.4618
190.0 0.0000 0.0000 0.0000 0.5384 0.0000 0.4616
191.0 0.0000 0.0000 0.0000 0.5386 0.0000 0.4614
192.0 0.0000 0.0000 0.0000 0.5388 0.0000 0.4612
193.0 0.0000 0.0000 0.0000 0.5390 0.0000 0.4610
194.0 0.0000 0.0000 0.0000 0.5392 0.0000 0.4608
195.0 0.0000 0.0000 0.0000 0.5394 0.0000 0.4606
196.0 0.0000 0.0000 0.0000 0.5396 0.0000 0.4604
197.0 0.0000 0.0000 0.0000 0.5398 0.0000 0.4602
198.0 0.0000 0.0000 0.0000 0.5400 0.0000 0.4600
199.0 0.0000 0.0000 0.0000 0.5402 0.0000 0.4597
200.0 0.0000 0.0000 0.0000 0.5405 0.0000 0.4595
201.0 0.0000 0.0000 0.0000 0.5407 0.0000 0.4593
202.0 0.0000 0.0000 0.0000 0.5409 0.0000 0.4591
203.0 0.0000 0.0000 0.0000 0.5411 0.0000 0.4589
204.0 0.0000 0.0000 0.0000 0.5413 0.0000 0.4587
205.0 0.0000 0.0000 0.0000 0.5415 0.0000 0.4585
206.0 0.0000 0.0000 0.0000 0.5417 0.0000 0.4583
207.0 0.0000 0.0000 0.0000 0.5419 0.0000 0.4581
208.0 0.0000 0.0000 0.0000 0.5421 0.0000 0.4579
209.0 0.0000 0.0000 0.0000 0.5423 0.0000 0.4577
210.0 0.0000 0.0000 0.0000 0.5425 0.0000 0.4575
211.0 0.0000 0.0000 0.0000 0.5427 0.0000 0.4573
212.0 0.0000 0.0000 0.0000 0.5429 0.0000 0.4571
213.0 0.0000 0.0000 0.0000 0.5431 0.0000 0.4569
214.0 0.0000 0.0000 0.0000 0.5433 0.0000 0.4567
215.0 0.0000 0.0000 0.0000 0.5436 0.0000 0.4564
216.0 0.0000 0.0000 0.0000 0.5438 0.0000 0.4562
217.0 0.0000 0.0000 0.0000 0.5440 0.0000 0.4560
218.0 0.0000 0.0000 0.0000 0.5442 0.0000 0.4558
219.0 0.0000 0.0000 0.0000 0.5444 0.0000 0.4556
220.0 0.0000 0.0000 0.0000 0.5446 0.0000 0.4554
221.0 0.0000 0.0000 0.0000 0.5448 0.0000 0.4552
222.0 0.0000 0.0000 0.0000 0.5450 0.0000 0.4550
223.0 0.0000 0.0000 0.0000 0.5452 0.0000 0.4548
224.0 0.0000 0.0000 0.0000 0.5454 0.0000 0.4546
225.0 0.0000 0.0000 0.0000 0.5456 0.0000 0.4544
226.0 0.0000 0.0000 0.0000 0.5458 0.0000 0.4542
227.0 0.0000 0.0000 0.0000 0.5460 0.0000 0.4540
228.0 0.0000 0.0000 0.0000 0.5462 0.0000 0.4538
229.0 0.0000 0.0000 0.0000 0.5464 0.0000 0.4536
230.0 0.0000 0.0000 0.0000 0.5466 0.0000 0.4534
231.0 0.0000 0.0000 0.0000 0.5468 0.0000 0.4532
232.0 0.0000 0.0000 0.0000 0.5471 0.0000 0.4529
233.0 0.0000 0.0000 0.0000 0.5473 0.0000 0.4527
234.0 0.0000 0.0000 0.0000 0.5475 0.0000 0.4525
235.0 0.0000 0.0000 0.0000 0.5477 0.0000 0.4523
236.0 0.0000 0.0000 0.0000 0.5479 0.0000 0.4521
237.0 0.0000 0.0000 0.0000 0.5481 0.0000 0.4519
238.0 0.0000 0.0000 0.0000 0.5483 0.0000 0.4517
239.0 0.0000 0.0000 0.0000 0.5485 0.0000 0.4515
240.0 0.0000 0.0000 0.0000 0.5487 0.0000 0.4513
241.0 0.0000 0.0000 0.0000 0.5489 0.0000 0.4511
242.0 0.0000 0.0000 0.0000 0.5491 0.0000 0.4509
243.0 0.0000 0.0000 0.0000 0.5493 0.0000 0.4507
244.0 0.0000 0.0000 0.0000 0.5495 0.0000 0.4505
245.0 0.0000 0.0000 0.0000 0.5497 0.0000 0.4503
