i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
0.5 0.1589 0.1723 0.1701 0.1662 0.1663 0.1663
1.0 0.1515 0.1783 0.1736 0.1654 0.1656 0.1656
1.5 0.1445 0.1849 0.1769 0.1644 0.1646 0.1646
2.0 0.1378 0.1921 0.1803 0.1631 0.1634 0.1634
2.5 0.1314 0.2000 0.1835 0.1614 0.1618 0.1618
3.0 0.1253 0.2086 0.1867 0.1595 0.1599 0.1600
3.5 0.1195 0.2181 0.1898 0.1572 0.1577 0.1577
4.0 0.1139 0.2285 0.1928 0.1546 0.1551 0.1552
4.5 0.1087 0.2399 0.1956 0.1516 0.1521 0.1522
5.0 0.1036 0.2525 0.1982 0.1481 0.1487 0.1488
5.5 0.0988 0.2664 0.2006 0.1442 0.1449 0.1449
6.0 0.0942 0.2819 0.2028 0.1399 0.1406 0.1406
6.5 0.0898 0.2990 0.2046 0.1351 0.1357 0.1358
7.0 0.0856 0.3179 0.2059 0.1297 0.1304 0.1305
7.5 0.0815 0.3389 0.2068 0.1238 0.1245 0.1246
8.0 0.0775 0.3622 0.2070 0.1173 0.1180 0.1181
8.5 0.0736 0.3880 0.2063 0.1103 0.1109 0.1110
9.0 0.0697 0.4164 0.2048 0.1026 0.1032 0.1033
9.5 0.0658 0.4477 0.2020 0.0944 0.0950 0.0951
10.0 0.0619 0.4818 0.1980 0.0857 0.0863 0.0863
10.5 0.0580 0.5187 0.1924 0.0766 0.0771 0.0772
11.0 0.0540 0.5582 0.1852 0.0672 0.0677 0.0678
11.5 0.0498 0.5997 0.1761 0.0578 0.0582 0.0583
12.0 0.0456 0.6426 0.1653 0.0486 0.0489 0.0490
12.5 0.0413 0.6860 0.1528 0.0398 0.0401 0.0401
13.0 0.0370 0.7286 0.1389 0.0317 0.0319 0.0319
13.5 0.0327 0.7693 0.1242 0.0245 0.0247 0.0247
14.0 0.0286 0.8070 0.1090 0.0184 0.0185 0.0185
14.5 0.0246 0.8409 0.0941 0.0134 0.0135 0.0135
15.0 0.0210 0.8704 0.0799 0.0095 0.0096 0.0096
15.5 0.0177 0.8955 0.0669 0.0066 0.0066 0.0066
16.0 0.0148 0.9165 0.0553 0.0045 0.0045 0.0045
16.5 0.0123 0.9335 0.0452 0.0030 0.0030 0.0030
17.0 0.0101 0.9473 0.0367 0.0019 0.0020 0.0020
17.5 0.0083 0.9584 0.0295 0.0013 0.0013 0.0013
18.0 0.0068 0.9671 0.0236 0.0008 0.0008 0.0008
18.5 0.0055 0.9741 0.0188 0.0005 0.0005 0.0005
19.0 0.0045 0.9796 0.0150 0.0003 0.0003 0.0003
19.5 0.0037 0.9839 0.0119 0.0002 0.0002 0.0002
20.0 0.0030 0.9873 0.0094 0.0001 0.0001 0.0001
20.5 0.0024 0.9900 0.0074 0.0001 0.0001 0.0001
21.0 0.0019 0.9921 0.0058 0.0000 0.0000 0.0000
21.5 0.0016 0.9937 0.0046 0.0000 0.0000 0.0000
22.0 0.0013 0.9951 0.0036 0.0000 0.0000 0.0000
22.5 0.0010 0.9961 0.0028 0.0000 0.0000 0.0000
23.0 0.0008 0.9969 0.0022 0.0000 0.0000 0.0000
23.5 0.0007 0.9976 0.0018 0.0000 0.0000 0.0000
24.0 0.0005 0.9981 0.0014 0.0000 0.0000 0.0000
24.5 0.0004 0.9985 0.0011 0.0000 0.0000 0.0000
25.0 0.0003 0.9988 0.0008 0.0000 0.0000 0.0000
25.5 0.0003 0.9991 0.0007 0.0000 0.0000 0.0000
26.0 0.0002 0.9992 0.0005 0.0000 0.0000 0.0000
26.5 0.0002 0.9994 0.0004 0.0000 0.0000 0.0000
27.0 0.0001 0.9995 0.0003 0.0000 0.0000 0.0000
27.5 0.0001 0.9996 0.0003 0.0000 0.0000 0.0000
28.0 0.0001 0.9997 0.0002 0.0000 0.0000 0.0000
28.5 0.0001 0.9998 0.0002 0.0000 0.0000 0.0000
29.0 0.0001 0.9998 0.0001 0.0000 0.0000 0.0000
29.5 0.0001 0.9999 0.0001 0.0000 0.0000 0.0000
30.0 0.0000 0.9999 0.0001 0.0000 0.0000 0.0000
30.5 0.0000 0.9999 0.0001 0.0000 0.0000 0.0000
31.0 0.0000 0.9999 0.0000 0.0000 0.0000 0.0000
31.5 0.0000 0.9999 0.0000 0.0000 0.0000 0.0000
32.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
32.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
33.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
33.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
34.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
34.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
35.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
35.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
36.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
36.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
37.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
37.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
38.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
38.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
39.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
39.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
40.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
40.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
41.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
41.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
42.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
42.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
43.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
43.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
44.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
44.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
45.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
45.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
46.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
46.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
47.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
47.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
48.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
48.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
49.0 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
49.5 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
