i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1205 0.1220 0.2024 0.1797 0.1820 0.1934
2.0 0.0827 0.0849 0.2367 0.1857 0.1925 0.2175
3.0 0.0544 0.0566 0.2680 0.1851 0.1979 0.2379
4.0 0.0345 0.0365 0.2960 0.1794 0.1990 0.2546
5.0 0.0214 0.0230 0.3208 0.1704 0.1966 0.2679
6.0 0.0130 0.0142 0.3430 0.1595 0.1918 0.2784
7.0 0.0078 0.0087 0.3634 0.1479 0.1854 0.2868
8.0 0.0046 0.0053 0.3824 0.1362 0.1781 0.2934
9.0 0.0028 0.0032 0.4004 0.1249 0.1701 0.2985
10.0 0.0016 0.0019 0.4178 0.1142 0.1618 0.3026
11.0 0.0010 0.0012 0.4347 0.1042 0.1534 0.3055
12.0 0.0006 0.0007 0.4512 0.0949 0.1451 0.3076
13.0 0.0003 0.0004 0.4673 0.0863 0.1368 0.3089
14.0 0.0002 0.0002 0.4831 0.0783 0.1287 0.3094
15.0 0.0001 0.0001 0.4986 0.0711 0.1209 0.3092
16.0 0.0001 0.0001 0.5138 0.0644 0.1133 0.3084
17.0 0.0000 0.0001 0.5286 0.0584 0.1060 0.3069
18.0 0.0000 0.0000 0.5432 0.0528 0.0991 0.3049
19.0 0.0000 0.0000 0.5574 0.0478 0.0924 0.3024
20.0 0.0000 0.0000 0.5712 0.0432 0.0861 0.2994
21.0 0.0000 0.0000 0.5848 0.0390 0.0801 0.2960
22.0 0.0000 0.0000 0.5980 0.0353 0.0745 0.2923
23.0 0.0000 0.0000 0.6108 0.0318 0.0692 0.2882
24.0 0.0000 0.0000 0.6233 0.0287 0.0642 0.2838
25.0 0.0000 0.0000 0.6355 0.0259 0.0595 0.2791
26.0 0.0000 0.0000 0.6473 0.0234 0.0551 0.2742
27.0 0.0000 0.0000 0.6588 0.0211 0.0510 0.2691
28.0 0.0000 0.0000 0.6699 0.0190 0.0472 0.2639
