i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1349 0.1338 0.1342 0.1958 0.1977 0.2036
2.0 0.1040 0.1023 0.1030 0.2209 0.2282 0.2416
3.0 0.0764 0.0745 0.0753 0.2394 0.2562 0.2782
4.0 0.0536 0.0519 0.0526 0.2499 0.2803 0.3116
5.0 0.0362 0.0348 0.0354 0.2528 0.2999 0.3408
6.0 0.0238 0.0227 0.0231 0.2496 0.3152 0.3657
7.0 0.0152 0.0144 0.0147 0.2419 0.3270 0.3867
8.0 0.0096 0.0091 0.0093 0.2316 0.3359 0.4046
9.0 0.0060 0.0056 0.0058 0.2197 0.3428 0.4200
10.0 0.0037 0.0035 0.0036 0.2073 0.3482 0.4337
11.0 0.0023 0.0021 0.0022 0.1948 0.3525 0.4460
12.0 0.0014 0.0013 0.0013 0.1826 0.3560 0.4572
13.0 0.0009 0.0008 0.0008 0.1709 0.3589 0.4677
14.0 0.0005 0.0005 0.0005 0.1597 0.3614 0.4774
15.0 0.0003 0.0003 0.0003 0.1491 0.3634 0.4866
16.0 0.0002 0.0002 0.0002 0.1391 0.3651 0.4952
17.0 0.0001 0.0001 0.0001 0.1297 0.3665 0.5034
18.0 0.0001 0.0001 0.0001 0.1209 0.3677 0.5112
19.0 0.0000 0.0000 0.0000 0.1127 0.3687 0.5185
20.0 0.0000 0.0000 0.0000 0.1049 0.3694 0.5256
21.0 0.0000 0.0000 0.0000 0.0977 0.3700 0.5322
22.0 0.0000 0.0000 0.0000 0.0910 0.3704 0.5386
23.0 0.0000 0.0000 0.0000 0.0846 0.3707 0.5447
24.0 0.0000 0.0000 0.0000 0.0788 0.3708 0.5504
25.0 0.0000 0.0000 0.0000 0.0733 0.3708 0.5559
26.0 0.0000 0.0000 0.0000 0.0681 0.3707 0.5612
27.0 0.0000 0.0000 0.0000 0.0634 0.3704 0.5662
28.0 0.0000 0.0000 0.0000 0.0589 0.3701 0.5710
29.0 0.0000 0.0000 0.0000 0.0548 0.3697 0.5756
30.0 0.0000 0.0000 0.0000 0.0509 0.3691 0.5800
31.0 0.0000 0.0000 0.0000 0.0473 0.3685 0.5841
32.0 0.0000 0.0000 0.0000 0.0440 0.3679 0.5882
33.0 0.0000 0.0000 0.0000 0.0409 0.3671 0.5920
34.0 0.0000 0.0000 0.0000 0.0380 0.3663 0.5957
35.0 0.0000 0.0000 0.0000 0.0353 0.3654 0.5993
36.0 0.0000 0.0000 0.0000 0.0328 0.3645 0.6027
37.0 0.0000 0.0000 0.0000 0.0304 0.3636 0.6060
38.0 0.0000 0.0000 0.0000 0.0283 0.3626 0.6092
39.0 0.0000 0.0000 0.0000 0.0262 0.3615 0.6123
40.0 0.0000 0.0000 0.0000 0.0244 0.3604 0.6152
41.0 0.0000 0.0000 0.0000 0.0226 0.3593 0.6181
42.0 0.0000 0.0000 0.0000 0.0210 0.3581 0.6209
