i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1450 0.1656 0.1713 0.1727 0.1727 0.1727
2.0 0.1258 0.1639 0.1754 0.1783 0.1783 0.1784
3.0 0.1087 0.1617 0.1790 0.1835 0.1835 0.1836
4.0 0.0938 0.1591 0.1822 0.1883 0.1883 0.1884
5.0 0.0807 0.1561 0.1849 0.1927 0.1927 0.1928
6.0 0.0693 0.1529 0.1873 0.1968 0.1967 0.1969
7.0 0.0595 0.1494 0.1894 0.2005 0.2005 0.2007
8.0 0.0509 0.1458 0.1911 0.2040 0.2039 0.2042
9.0 0.0435 0.1421 0.1926 0.2073 0.2071 0.2074
10.0 0.0372 0.1382 0.1938 0.2103 0.2101 0.2104
11.0 0.0317 0.1344 0.1948 0.2131 0.2128 0.2132
12.0 0.0270 0.1305 0.1956 0.2157 0.2154 0.2158
13.0 0.0230 0.1266 0.1963 0.2181 0.2178 0.2182
14.0 0.0196 0.1227 0.1968 0.2204 0.2200 0.2205
15.0 0.0167 0.1189 0.1971 0.2226 0.2221 0.2227
16.0 0.0142 0.1151 0.1973 0.2247 0.2241 0.2247
17.0 0.0120 0.1113 0.1975 0.2266 0.2260 0.2266
18.0 0.0102 0.1077 0.1975 0.2285 0.2277 0.2284
19.0 0.0087 0.1041 0.1974 0.2302 0.2294 0.2301
20.0 0.0074 0.1006 0.1973 0.2319 0.2310 0.2318
21.0 0.0063 0.0972 0.1971 0.2335 0.2326 0.2333
22.0 0.0053 0.0939 0.1968 0.2351 0.2341 0.2348
23.0 0.0045 0.0907 0.1965 0.2366 0.2355 0.2363
24.0 0.0038 0.0875 0.1961 0.2380 0.2368 0.2377
25.0 0.0032 0.0845 0.1957 0.2394 0.2381 0.2390
26.0 0.0027 0.0815 0.1953 0.2408 0.2394 0.2403
27.0 0.0023 0.0786 0.1948 0.2421 0.2406 0.2416
28.0 0.0020 0.0758 0.1942 0.2433 0.2418 0.2428
29.0 0.0017 0.0731 0.1937 0.2446 0.2430 0.2440
30.0 0.0014 0.0705 0.1931 0.2458 0.2441 0.2451
31.0 0.0012 0.0680 0.1924 0.2469 0.2452 0.2463
32.0 0.0010 0.0655 0.1918 0.2481 0.2462 0.2473
33.0 0.0009 0.0632 0.1911 0.2492 0.2473 0.2484
34.0 0.0007 0.0609 0.1904 0.2503 0.2483 0.2494
35.0 0.0006 0.0587 0.1897 0.2513 0.2492 0.2504
36.0 0.0005 0.0565 0.1890 0.2523 0.2502 0.2514
37.0 0.0004 0.0545 0.1883 0.2534 0.2511 0.2524
38.0 0.0004 0.0525 0.1875 0.2543 0.2520 0.2533
39.0 0.0003 0.0505 0.1867 0.2553 0.2529 0.2542
40.0 0.0003 0.0487 0.1859 0.2562 0.2538 0.2551
41.0 0.0002 0.0469 0.1851 0.2572 0.2546 0.2560
42.0 0.0002 0.0451 0.1843 0.2581 0.2555 0.2568
43.0 0.0002 0.0435 0.1835 0.2590 0.2563 0.2576
44.0 0.0001 0.0419 0.1826 0.2598 0.2571 0.2585
45.0 0.0001 0.0403 0.1818 0.2607 0.2578 0.2593
46.0 0.0001 0.0388 0.1809 0.2615 0.2586 0.2600
47.0 0.0001 0.0374 0.1801 0.2623 0.2594 0.2608
48.0 0.0001 0.0360 0.1792 0.2631 0.2601 0.2616
49.0 0.0001 0.0346 0.1783 0.2639 0.2608 0.2623
50.0 0.0001 0.0333 0.1774 0.2647 0.2615 0.2630
51.0 0.0000 0.0321 0.1765 0.2654 0.2622 0.2637
52.0 0.0000 0.0309 0.1756 0.2662 0.2629 0.2644
53.0 0.0000 0.0297 0.1747 0.2669 0.2635 0.2651
54.0 0.0000 0.0286 0.1738 0.2676 0.2642 0.2658
55.0 0.0000 0.0275 0.1729 0.2684 0.2648 0.2664
56.0 0.0000 0.0265 0.1720 0.2690 0.2654 0.2670
57.0 0.0000 0.0255 0.1711 0.2697 0.2660 0.2677
