i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1234 0.1307 0.1864 0.1829 0.1882 0.1883
2.0 0.0879 0.0986 0.2034 0.1943 0.2079 0.2080
3.0 0.0604 0.0718 0.2170 0.2005 0.2250 0.2252
4.0 0.0404 0.0508 0.2273 0.2022 0.2395 0.2398
5.0 0.0264 0.0352 0.2346 0.2002 0.2516 0.2520
6.0 0.0170 0.0239 0.2397 0.1956 0.2617 0.2622
7.0 0.0108 0.0161 0.2429 0.1892 0.2701 0.2708
8.0 0.0068 0.0107 0.2450 0.1819 0.2774 0.2782
9.0 0.0043 0.0071 0.2461 0.1740 0.2838 0.2847
10.0 0.0027 0.0047 0.2465 0.1660 0.2895 0.2906
11.0 0.0017 0.0031 0.2466 0.1579 0.2948 0.2960
12.0 0.0010 0.0020 0.2463 0.1501 0.2996 0.3010
13.0 0.0006 0.0013 0.2458 0.1424 0.3041 0.3057
14.0 0.0004 0.0009 0.2451 0.1351 0.3084 0.3101
15.0 0.0002 0.0006 0.2443 0.1280 0.3125 0.3143
16.0 0.0002 0.0004 0.2434 0.1213 0.3164 0.3184
17.0 0.0001 0.0002 0.2424 0.1149 0.3201 0.3223
18.0 0.0001 0.0002 0.2414 0.1088 0.3236 0.3260
19.0 0.0000 0.0001 0.2403 0.1029 0.3270 0.3296
20.0 0.0000 0.0001 0.2391 0.0974 0.3303 0.3330
21.0 0.0000 0.0000 0.2380 0.0922 0.3335 0.3364
22.0 0.0000 0.0000 0.2367 0.0872 0.3365 0.3396
23.0 0.0000 0.0000 0.2355 0.0824 0.3394 0.3427
24.0 0.0000 0.0000 0.2342 0.0780 0.3422 0.3456
25.0 0.0000 0.0000 0.2329 0.0737 0.3449 0.3485
26.0 0.0000 0.0000 0.2315 0.0697 0.3475 0.3513
27.0 0.0000 0.0000 0.2302 0.0659 0.3500 0.3540
28.0 0.0000 0.0000 0.2288 0.0622 0.3523 0.3566
29.0 0.0000 0.0000 0.2274 0.0588 0.3547 0.3591
30.0 0.0000 0.0000 0.2261 0.0556 0.3569 0.3615
31.0 0.0000 0.0000 0.2247 0.0525 0.3590 0.3638
32.0 0.0000 0.0000 0.2232 0.0496 0.3611 0.3661
