i r tft rl num fbm tom
0.0 0.1667 0.1667 0.1667 0.1667 0.1667 0.1667
1.0 0.1352 0.1352 0.1352 0.1974 0.1985 0.1985
2.0 0.1048 0.1048 0.1048 0.2250 0.2303 0.2304
3.0 0.0775 0.0775 0.0774 0.2467 0.2604 0.2605
4.0 0.0548 0.0548 0.0548 0.2611 0.2872 0.2872
5.0 0.0374 0.0374 0.0374 0.2680 0.3099 0.3100
6.0 0.0247 0.0247 0.0247 0.2684 0.3287 0.3287
7.0 0.0160 0.0160 0.0160 0.2641 0.3440 0.3440
8.0 0.0102 0.0102 0.0102 0.2565 0.3565 0.3565
9.0 0.0064 0.0064 0.0064 0.2469 0.3669 0.3669
10.0 0.0040 0.0040 0.0040 0.2363 0.3758 0.3758
11.0 0.0025 0.0025 0.0025 0.2253 0.3836 0.3836
12.0 0.0016 0.0016 0.0015 0.2142 0.3905 0.3906
13.0 0.0010 0.0010 0.0010 0.2034 0.3968 0.3969
14.0 0.0006 0.0006 0.0006 0.1928 0.4027 0.4028
15.0 0.0004 0.0004 0.0004 0.1826 0.4081 0.4082
16.0 0.0002 0.0002 0.0002 0.1729 0.4131 0.4133
17.0 0.0001 0.0001 0.0001 0.1636 0.4179 0.4181
18.0 0.0001 0.0001 0.0001 0.1548 0.4224 0.4226
19.0 0.0001 0.0001 0.0001 0.1463 0.4266 0.4269
20.0 0.0000 0.0000 0.0000 0.1384 0.4306 0.4309
21.0 0.0000 0.0000 0.0000 0.1308 0.4344 0.4348
22.0 0.0000 0.0000 0.0000 0.1236 0.4380 0.4384
23.0 0.0000 0.0000 0.0000 0.1168 0.4414 0.4418
24.0 0.0000 0.0000 0.0000 0.1103 0.4446 0.4451
25.0 0.0000 0.0000 0.0000 0.1042 0.4476 0.4482
26.0 0.0000 0.0000 0.0000 0.0984 0.4505 0.4511
27.0 0.0000 0.0000 0.0000 0.0929 0.4532 0.4539
28.0 0.0000 0.0000 0.0000 0.0877 0.4557 0.4565
29.0 0.0000 0.0000 0.0000 0.0828 0.4582 0.4590
30.0 0.0000 0.0000 0.0000 0.0782 0.4604 0.4614
31.0 0.0000 0.0000 0.0000 0.0738 0.4626 0.4636
32.0 0.0000 0.0000 0.0000 0.0697 0.4646 0.4657
33.0 0.0000 0.0000 0.0000 0.0658 0.4665 0.4677
34.0 0.0000 0.0000 0.0000 0.0621 0.4684 0.4696
35.0 0.0000 0.0000 0.0000 0.0586 0.4701 0.4714
36.0 0.0000 0.0000 0.0000 0.0553 0.4717 0.4731
37.0 0.0000 0.0000 0.0000 0.0521 0.4732 0.4747
38.0 0.0000 0.0000 0.0000 0.0492 0.4746 0.4762
39.0 0.0000 0.0000 0.0000 0.0464 0.4759 0.4776
40.0 0.0000 0.0000 0.0000 0.0438 0.4772 0.4790
41.0 0.0000 0.0000 0.0000 0.0413 0.4784 0.4803
42.0 0.0000 0.0000 0.0000 0.0390 0.4795 0.4815
43.0 0.0000 0.0000 0.0000 0.0368 0.4806 0.4826
44.0 0.0000 0.0000 0.0000 0.0347 0.4816 0.4837
45.0 0.0000 0.0000 0.0000 0.0327 0.4825 0.4848
46.0 0.0000 0.0000 0.0000 0.0309 0.4834 0.4857
47.0 0.0000 0.0000 0.0000 0.0291 0.4842 0.4867
48.0 0.0000 0.0000 0.0000 0.0275 0.4850 0.4875
49.0 0.0000 0.0000 0.0000 0.0259 0.4857 0.4884
50.0 0.0000 0.0000 0.0000 0.0244 0.4864 0.4892
51.0 0.0000 0.0000 0.0000 0.0231 0.4870 0.4899
52.0 0.0000 0.0000 0.0000 0.0217 0.4877 0.4906
53.0 0.0000 0.0000 0.0000 0.0205 0.4882 0.4913
54.0 0.0000 0.0000 0.0000 0.0193 0.4887 0.4919
55.0 0.0000 0.0000 0.0000 0.0182 0.4892 0.4925
56.0 0.0000 0.0000 0.0000 0.0172 0.4897 0.4931
57.0 0.0000 0.0000 0.0000 0.0162 0.4901 0.4936
58.0 0.0000 0.0000 0.0000 0.0153 0.4906 0.4941
59.0 0.0000 0.0000 0.0000 0.0144 0.4909 0.4946
60.0 0.0000 0.0000 0.0000 0.0136 0.4913 0.4951
61.0 0.0000 0.0000 0.0000 0.0128 0.4916 0.4955
62.0 0.0000 0.0000 0.0000 0.0121 0.4919 0.4959
63.0 0.0000 0.0000 0.0000 0.0114 0.4922 0.4963
64.0 0.0000 0.0000 0.0000 0.0108 0.4925 0.4967
65.0 0.0000 0.0000 0.0000 0.0102 0.4928 0.4971
